texto,tipo_eleccion,eje_tematico,orden
"El proximo gobierno debe impulsar una reforma tributaria que aumente los impuestos a las empresas grandes y patrimonios sobre 5 millones de dolares.",Presidencial 2025,ECONOMIA,1
"Chile debe migrar hacia un sistema previsional con mayor componente de capitalizacion individual, reduciendo el peso del reparto solidario.",Presidencial 2025,ECONOMIA,2
"El royalty minero al cobre debe aumentarse para financiar salud, educacion y descentralizacion regional.",Presidencial 2025,ECONOMIA,3
"Se debe implementar por ley la jornada laboral de 40 horas semanales sin reduccion salarial en un plazo maximo de 3 anios.",Presidencial 2025,ECONOMIA,4
"Se debe eliminar totalmente el copago en las prestaciones de Fonasa (copago cero universal).",Presidencial 2025,SOCIEDAD,5
"La gratuidad en educacion superior debe extenderse al 100% de los estudiantes, eliminando el corte socioeconomico actual.",Presidencial 2025,SOCIEDAD,6
"Chile debe adelantar el cierre de todas las centrales termoelectricas a carbon al ano 2030.",Presidencial 2025,AMBIENTE,7
"Se debe prohibir la operacion de salmoneras dentro de Areas Marinas y Costeras Protegidas.",Presidencial 2025,AMBIENTE,8
"Se debe desplegar Fuerzas Armadas de forma permanente en la frontera norte para el control migratorio y narcotrafico.",Presidencial 2025,SEGURIDAD,9
"Chile debe construir carceles de maxima seguridad exclusivas para lideres del narcotrafico y crimen organizado.",Presidencial 2025,SEGURIDAD,10
"El proximo gobierno debe convocar a un nuevo proceso constituyente, tras el rechazo de las propuestas 2022 y 2023.",Presidencial 2025,INSTITUCIONAL,11
"Chile debe retirarse del Tratado Integral y Progresista de Asociacion Transpacifico (CPTPP/TPP-11).",Presidencial 2025,INTERNACIONAL,12
"Chile debe reconocer formalmente al Estado de Palestina en las relaciones bilaterales.",Presidencial 2025,INTERNACIONAL,13
"Se debe eliminar el Senado y avanzar hacia un Congreso unicameral.",Presidencial 2025,INSTITUCIONAL,14
"El presidente debe impulsar como prioridad legislativa el proyecto de aborto libre hasta las 14 semanas de gestacion.",Presidencial 2025,OTRO,15
"El proximo gobierno debe destinar recursos adicionales de CONADI para acelerar la restitucion de tierras ancestrales a comunidades mapuche.",Presidencial 2025,PUEBLOS_ORIGINARIOS,16
"El proximo gobierno debe establecer una pension de invalidez universal no contributiva para personas con discapacidad, independiente de sus cotizaciones previsionales.",Presidencial 2025,DISCAPACIDAD,17
