candidato_apellido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Boric,1,ingreso minimo universal,4,"[CONFIANZA MEDIA] Programa Frente Amplio/Apruebo Dignidad 2021 propuso Renta Basica de Emergencia y aumento del piso RGI (Renta Garantizada de Ingreso). No es IMU incondicional pero postura cercana. Su gobierno 2022-2026 aumento pisos via RGI. VERIFICAR contra programa 2025.",https://boricpresidente.cl/programa/
Boric,2,reducir impuestos a empresas,1,"[CONFIANZA ALTA] Su gobierno impulso reforma tributaria 2022-2023 que AUMENTABA impuestos a rentas altas y empresas grandes (proyecto rechazado en Camara marzo 2023). Postura consistente en rechazar baja de impuestos corporativos. VERIFICAR con votacion nominal reforma tributaria.",https://www.camara.cl/legislacion/proyectos_ley/index.aspx
Boric,3,educacion superior gratuita,5,"[CONFIANZA ALTA] Boric fue vocero del movimiento estudiantil 2011 exigiendo educacion gratuita. Fundador Convergencia Social. Su gobierno mantuvo y amplio gratuidad heredada de Bachelet. Postura publica consistente desde 2011.",https://boricpresidente.cl/programa/
Boric,4,aborto libre hasta 14 semanas,5,"[CONFIANZA ALTA] Su gobierno ingreso proyecto de ley de aborto libre hasta 14 semanas en 2022 (mensaje presidencial). Consistente con posiciones de su coalicion.",https://www.camara.cl/legislacion/proyectos_ley/index.aspx
Boric,5,cerrar termoelectricas carbon 2030,4,"[CONFIANZA MEDIA] Calendario oficial descarbonizacion Chile es 2040 con acceleracion. Su gobierno impulso adelantar. No 100% seguro que apoye 2030 estricto vs 2035. VERIFICAR con Ministerio Energia plan actualizado.",https://energia.gob.cl/mini-sitio/plan-de-descarbonizacion
Boric,6,mineria en glaciares con regulacion,1,"[CONFIANZA ALTA] Boric fue firmante y promotor de la Ley de Proteccion de Glaciares durante su periodo como diputado (proyecto en tramite desde 2018). Postura anti-mineria en glaciares consistente.",https://www.camara.cl/legislacion/proyectos_ley/index.aspx
Boric,7,militar en Araucania,2,"[CONFIANZA MEDIA] Discurso original critico de militarizacion. Sin embargo su gobierno mantuvo y renovo el Estado de Excepcion Constitucional en la Macrozona Sur (2022-2024). CONTRADICCION discurso vs accion. Escala refleja postura declarativa; en la practica seria 3-4.",https://www.gob.cl/noticias/
Boric,8,penas mas duras robo con violencia,3,"[CONFIANZA BAJA] Postura ambigua. Discurso anti-punitivismo pero apoyo agendas de seguridad publica pragmatica. Sin voto nominal concreto que confirme direccion clara. VERIFICAR con votaciones de la Ley Nain-Retamal 2023.",https://www.senado.cl/proyectos-de-ley
Boric,9,reconocimiento constitucional pueblos originarios,5,"[CONFIANZA ALTA] Central en su programa y en la propuesta constitucional 2022 (Convencion) que reconocia plurinacionalidad. Consistente con posturas historicas de su coalicion.",https://boricpresidente.cl/programa/
Boric,10,migrantes procedimientos regularizados,4,"[CONFIANZA MEDIA] Programa Apruebo Dignidad 2021 pro-regularizacion con enfoque de DDHH. En gestion tuvo posturas mas moderadas ante crisis migratoria Norte. VERIFICAR postura actual 2025.",https://boricpresidente.cl/programa/
Boric,11,salir Alianza del Pacifico,1,"[CONFIANZA BAJA] No hay propuesta explicita de salida. Chile permanecio en la AP durante su gobierno. Escala 1 refleja: no hay intencion de salir. VERIFICAR si en programa 2025 aparece algo distinto.",https://www.gob.cl/ministerios/ministerio-de-relaciones-exteriores/
Boric,12,nueva Constitucion,5,"[CONFIANZA ALTA] Impulsor de ambos procesos constitucionales (2022 rechazado, 2023 rechazado). Sigue defendiendo necesidad de nueva Carta. Consistente publicamente.",https://boricpresidente.cl/programa/
Kast,1,ingreso minimo universal,1,"[CONFIANZA ALTA] Programa Republicano 2021 rechaza subsidios universales, propone estimular empleo formal como via de ingreso. Discurso anti-asistencialismo publicamente consistente.",https://josekast.cl/
Kast,2,reducir impuestos a empresas,5,"[CONFIANZA ALTA] Central en programa 2021: baja impuestos corporativos y reduccion de gasto publico. Postura publica consistente en debates.",https://josekast.cl/
Kast,3,educacion superior gratuita,1,"[CONFIANZA ALTA] Rechazo publico a la gratuidad universal. Propone becas focalizadas y fortalecer educacion tecnica. En Congreso voto contra ampliaciones de gratuidad.",https://josekast.cl/
Kast,4,aborto libre hasta 14 semanas,1,"[CONFIANZA ALTA] Voto CONTRA la Ley de Aborto en 3 causales 2017 siendo diputado. Postura conservadora publica y consistente. Rechaza incluso las 3 causales.",https://www.camara.cl/legislacion/sala_sesiones/votaciones.aspx
Kast,5,cerrar termoelectricas 2030,1,"[CONFIANZA MEDIA] Rechaza calendarios acelerados de descarbonizacion por impacto economico. Postura en linea con su vision pro-empresa. VERIFICAR declaraciones especificas 2024-2025.",https://josekast.cl/
Kast,6,mineria en glaciares con regulacion,4,"[CONFIANZA MEDIA] Rechazo publico a Ley de Proteccion Glaciares por considerarla restrictiva a la inversion. Favorable a mineria con regulacion. VERIFICAR voto especifico.",https://www.camara.cl/legislacion/sala_sesiones/votaciones.aspx
Kast,7,militar en Araucania,5,"[CONFIANZA ALTA] Central en programa 2021: militarizacion de la Macrozona Sur. Postura publica consistente en debates presidenciales.",https://josekast.cl/
Kast,8,penas mas duras robo violencia,5,"[CONFIANZA ALTA] Central en programa: aumento penas, construccion carceles, reduccion beneficios penitenciarios. Postura publica consistente.",https://josekast.cl/
Kast,9,reconocimiento pueblos originarios,2,"[CONFIANZA MEDIA] Rechaza plurinacionalidad constitucional (voto Rechazo 2022 activo). Acepta reconocimiento cultural minimo pero no derechos colectivos.",https://josekast.cl/
Kast,10,migrantes procedimientos regularizados,1,"[CONFIANZA ALTA] Propone expulsion masiva de migrantes irregulares, construccion de zanja/muro Norte. Central en programa 2021 y campania.",https://josekast.cl/
Kast,11,salir Alianza del Pacifico,1,"[CONFIANZA MEDIA] Pro libre comercio, no plantea salida. Escala 1 = fuertemente en desacuerdo con salir. VERIFICAR programa 2025.",https://josekast.cl/
Kast,12,nueva Constitucion,1,"[CONFIANZA ALTA] Fue lider del Rechazo 2022 y del Republicano en Consejo Constitucional 2023. Rechaza continuar con procesos constituyentes.",https://josekast.cl/
Bachelet,1,ingreso minimo universal,3,"[CONFIANZA BAJA] Como presidenta no impulso IMU. Focaliza en pensiones y salud publica. No hay declaracion clara sobre IMU. Escala 3 = neutral por ausencia de postura clara.",https://prensa.presidencia.cl/comunicado/
Bachelet,2,reducir impuestos a empresas,1,"[CONFIANZA ALTA] Su reforma tributaria 2014 SUBIO impuestos corporativos (25% a 27%). Postura publica y ejecutiva consistente contra baja de impuestos.",https://www.bcn.cl/leychile
Bachelet,3,educacion superior gratuita,5,"[CONFIANZA ALTA] Impulsora Ley 21.091 Educacion Superior 2018 que consolido gratuidad. Postura publica y legislativa consistente.",https://www.bcn.cl/leychile/navegar?idNorma=1118991
Bachelet,4,aborto libre hasta 14 semanas,4,"[CONFIANZA MEDIA] Firmo Ley 21.030 aborto en 3 causales (2017). Historicamente no ha apoyado aborto libre sin causales. Escala 4 = probablemente favorable a ampliar mas alla de 3 causales pero no hasta 14 sem sin restriccion.",https://www.bcn.cl/leychile/navegar?idNorma=1108237
Bachelet,5,cerrar termoelectricas 2030,3,"[CONFIANZA BAJA] En su segundo gobierno 2014-2018 no puso este horizonte. Apoyaba transicion mas gradual. Escala 3 por ausencia de postura reciente.",https://prensa.presidencia.cl/comunicado/
Bachelet,6,mineria en glaciares,2,"[CONFIANZA MEDIA] Su gobierno respaldo proyectos de proteccion de glaciares. Postura anti-mineria en zonas sensibles. VERIFICAR mensaje presidencial glaciares.",https://prensa.presidencia.cl/comunicado/
