candidato_apellido,pregunta_orden,pregunta_texto_ref,valor,justificacion,fuente_url
Bachelet,1,El Estado debe garantizar un ingreso minimo universal a toda,,,
Bachelet,2,Chile debe reducir los impuestos a las empresas para incenti,,,
Bachelet,3,La educacion superior deberia ser gratuita para todos los es,,,
Bachelet,4,El aborto libre debe ser legal en todos los casos hasta las ,,,
Bachelet,5,Chile debe cerrar todas las centrales termoelectricas a carb,,,
Bachelet,6,Se debe permitir la mineria en zonas de glaciares con regula,,,
Bachelet,7,Es necesario aumentar la presencia militar en La Araucania.,,,
Bachelet,8,Los delitos de robo con violencia deben tener penas mas dura,,,
Bachelet,9,El Estado debe reconocer constitucionalmente a los pueblos o,,,
Bachelet,10,Chile debe recibir migrantes con procedimientos regularizado,,,
Bachelet,11,Chile debe salir de la Alianza del Pacifico.,,,
Bachelet,12,Es prioritario impulsar una nueva Constitucion.,,,
Boric,1,El Estado debe garantizar un ingreso minimo universal a toda,,,
Boric,2,Chile debe reducir los impuestos a las empresas para incenti,,,
Boric,3,La educacion superior deberia ser gratuita para todos los es,,,
Boric,4,El aborto libre debe ser legal en todos los casos hasta las ,,,
Boric,5,Chile debe cerrar todas las centrales termoelectricas a carb,,,
Boric,6,Se debe permitir la mineria en zonas de glaciares con regula,,,
Boric,7,Es necesario aumentar la presencia militar en La Araucania.,,,
Boric,8,Los delitos de robo con violencia deben tener penas mas dura,,,
Boric,9,El Estado debe reconocer constitucionalmente a los pueblos o,,,
Boric,10,Chile debe recibir migrantes con procedimientos regularizado,,,
Boric,11,Chile debe salir de la Alianza del Pacifico.,,,
Boric,12,Es prioritario impulsar una nueva Constitucion.,,,
Kast,1,El Estado debe garantizar un ingreso minimo universal a toda,,,
Kast,2,Chile debe reducir los impuestos a las empresas para incenti,,,
Kast,3,La educacion superior deberia ser gratuita para todos los es,,,
Kast,4,El aborto libre debe ser legal en todos los casos hasta las ,,,
Kast,5,Chile debe cerrar todas las centrales termoelectricas a carb,,,
Kast,6,Se debe permitir la mineria en zonas de glaciares con regula,,,
Kast,7,Es necesario aumentar la presencia militar en La Araucania.,,,
Kast,8,Los delitos de robo con violencia deben tener penas mas dura,,,
Kast,9,El Estado debe reconocer constitucionalmente a los pueblos o,,,
Kast,10,Chile debe recibir migrantes con procedimientos regularizado,,,
Kast,11,Chile debe salir de la Alianza del Pacifico.,,,
Kast,12,Es prioritario impulsar una nueva Constitucion.,,,
Parisi,1,El Estado debe garantizar un ingreso minimo universal a toda,,,
Parisi,2,Chile debe reducir los impuestos a las empresas para incenti,,,
Parisi,3,La educacion superior deberia ser gratuita para todos los es,,,
Parisi,4,El aborto libre debe ser legal en todos los casos hasta las ,,,
Parisi,5,Chile debe cerrar todas las centrales termoelectricas a carb,,,
Parisi,6,Se debe permitir la mineria en zonas de glaciares con regula,,,
Parisi,7,Es necesario aumentar la presencia militar en La Araucania.,,,
Parisi,8,Los delitos de robo con violencia deben tener penas mas dura,,,
Parisi,9,El Estado debe reconocer constitucionalmente a los pueblos o,,,
Parisi,10,Chile debe recibir migrantes con procedimientos regularizado,,,
Parisi,11,Chile debe salir de la Alianza del Pacifico.,,,
Parisi,12,Es prioritario impulsar una nueva Constitucion.,,,
Provoste,1,El Estado debe garantizar un ingreso minimo universal a toda,,,
Provoste,2,Chile debe reducir los impuestos a las empresas para incenti,,,
Provoste,3,La educacion superior deberia ser gratuita para todos los es,,,
Provoste,4,El aborto libre debe ser legal en todos los casos hasta las ,,,
Provoste,5,Chile debe cerrar todas las centrales termoelectricas a carb,,,
Provoste,6,Se debe permitir la mineria en zonas de glaciares con regula,,,
Provoste,7,Es necesario aumentar la presencia militar en La Araucania.,,,
Provoste,8,Los delitos de robo con violencia deben tener penas mas dura,,,
Provoste,9,El Estado debe reconocer constitucionalmente a los pueblos o,,,
Provoste,10,Chile debe recibir migrantes con procedimientos regularizado,,,
Provoste,11,Chile debe salir de la Alianza del Pacifico.,,,
Provoste,12,Es prioritario impulsar una nueva Constitucion.,,,
Sichel,1,El Estado debe garantizar un ingreso minimo universal a toda,,,
Sichel,2,Chile debe reducir los impuestos a las empresas para incenti,,,
Sichel,3,La educacion superior deberia ser gratuita para todos los es,,,
Sichel,4,El aborto libre debe ser legal en todos los casos hasta las ,,,
Sichel,5,Chile debe cerrar todas las centrales termoelectricas a carb,,,
Sichel,6,Se debe permitir la mineria en zonas de glaciares con regula,,,
Sichel,7,Es necesario aumentar la presencia militar en La Araucania.,,,
Sichel,8,Los delitos de robo con violencia deben tener penas mas dura,,,
Sichel,9,El Estado debe reconocer constitucionalmente a los pueblos o,,,
Sichel,10,Chile debe recibir migrantes con procedimientos regularizado,,,
Sichel,11,Chile debe salir de la Alianza del Pacifico.,,,
Sichel,12,Es prioritario impulsar una nueva Constitucion.,,,
