texto,tipo_eleccion,eje_tematico,orden
"El Estado debe intervenir activamente en la economia para corregir desigualdades, aunque implique mayor regulacion a las empresas.",Preguntas generales,ECONOMIA,1
"Chile debe tener un sistema tributario mas progresivo, cobrando proporcionalmente mas a los patrimonios altos y menos a los bajos.",Preguntas generales,ECONOMIA,2
"El aborto debe ser legal a solicitud de la mujer, sin necesidad de causales especificas.",Preguntas generales,SOCIEDAD,3
"Las parejas del mismo sexo deben poder adoptar hijos en igualdad de condiciones que las parejas heterosexuales, sin restricciones adicionales.",Preguntas generales,SOCIEDAD,4
"La eutanasia activa voluntaria debe estar legalmente permitida para personas con enfermedades terminales.",Preguntas generales,SOCIEDAD,5
"La proteccion del medio ambiente debe priorizarse por sobre el crecimiento economico cuando ambos entran en conflicto.",Preguntas generales,AMBIENTE,6
"El enfoque frente al delito debe priorizar la rehabilitacion del condenado por sobre el aumento de penas.",Preguntas generales,SEGURIDAD,7
"Los civiles deben poder acceder a armas de fuego para defensa personal en su domicilio con requisitos accesibles.",Preguntas generales,SEGURIDAD,8
"Chile debe adoptar una politica migratoria regularizadora, facilitando vias legales de permanencia para migrantes irregulares.",Preguntas generales,DDHH,9
"Los pueblos originarios deben tener representacion politica garantizada mediante escanos reservados en el Congreso.",Preguntas generales,DDHH,10
"Chile debe priorizar su alianza estrategica con Estados Unidos por sobre el acercamiento a China y otros bloques emergentes.",Preguntas generales,INTERNACIONAL,11
"Chile necesita una nueva Constitucion redactada por un organo elegido democraticamente.",Preguntas generales,INSTITUCIONAL,12
"El voto en Chile debe ser obligatorio en todas las elecciones, con multa efectiva para quienes no sufraguen.",Preguntas generales,INSTITUCIONAL,13
"El consumo y cultivo personal de cannabis debe estar legalmente permitido para adultos.",Preguntas generales,OTRO,14
"La educacion sexual integral, incluyendo diversidad sexual, debe ser obligatoria en todos los colegios desde basica.",Preguntas generales,OTRO,15
"El Estado debe reconocer constitucionalmente a los pueblos originarios como sujetos de derecho colectivo, con autonomia territorial y cultural.",Preguntas generales,PUEBLOS_ORIGINARIOS,16
"Chile debe aumentar del 1% al 4% la cuota obligatoria de contratacion de personas con discapacidad en empresas con mas de 100 empleados.",Preguntas generales,DISCAPACIDAD,17
